attraction_id,name,location,description,opening_hours,category,price
151,Vegan Mac & Cheese,Badeau,Creamy vegan mac and cheese made with cashew cheese.,5:02 PM,Food - Frozen,8.99
152,Cheddar Cheese Crackers,Russell,Crunchy crackers topped with real cheddar cheese flavor.,9:23 PM,Food - Snacks,2.29
153,Video Camera,Manitowish,1080p HD video camera with night vision.,4:56 AM,Electronics,199
154,Outdoor Portable Fire Pit,Hoepker,Compact fire pit for campfires and gatherings.,11:52 AM,Outdoor,149.99
155,Fishing Rod,Nova,Lightweight fishing rod suitable for beginners.,3:36 AM,Outdoor,49.99
156,Creamy Tomato Basil Soup,Cottonwood,"Rich and creamy tomato basil soup, perfect with a grilled cheese.",3:27 AM,Food - Canned Goods,3.29
157,Essential Oil Roller Bottles,Schlimgen,Set of roller bottles for blending and applying essential oils.,3:18 AM,Health,19.99
158,Yoga Wheel,Linden,Supportive yoga wheel for deep stretching and balance.,12:30 PM,Fitness,34.99
159,Hiking Gaiters,School,Protective gaiters to keep dirt and debris out of shoes during hikes.,9:44 PM,Outdoor,29.99
160,Whipped Cream Cheese,Caliangt,"Light and fluffy cream cheese, perfect for bagels or cooking.",12:52 PM,Food - Dairy,2.99
161,Maple Syrup,Stuart,Pure maple syrup for pancakes and more.,8:51 PM,Food - Condiments,6.99
162,Fleece Throw Blanket,Doe Crossing,"Super soft fleece blanket, perfect for coziness.",12:57 AM,Home,29.99
163,Sun Protection Clothing,Kipling,UV-blocking clothing for outdoor activities.,7:28 AM,Clothing,44.99
164,Set of Measuring Spoons,Oak Valley,Stainless steel measuring spoons set for cooking.,7:31 AM,Kitchen,12.99
165,Sous Vide Cooker,Waxwing,Precision cooker for perfect sous vide cooking.,12:17 AM,Kitchen,79.99
166,Ice Cream Scoop,Northport,Durable scoop for perfectly shaped ice cream servings.,4:54 PM,Kitchen,12.99
167,Thai Red Curry Paste,Green,Spicy and flavorful curry paste for authentic Thai dishes.,8:18 PM,Food - Condiments,3.99
168,Portable Camping Shower,Emmet,Convenient shower system for camping and outdoor activities.,11:22 PM,Outdoor,39.99
169,Phone Screen Protector,Summerview,Tempered glass screen protector for smartphones.,7:40 PM,Accessories,12.99
170,Caramel Apple Taffy,Ramsey,"Sweet and chewy taffy flavored like caramel apples, great for fall.",1:55 PM,Food - Confectionery,1.99
171,Chocolate Coconut Protein Balls,Glendale,No-bake protein balls with chocolate and coconut flavors.,4:06 PM,Food - Snacks,2.99
172,Wild Rice Pilaf,Independence,"A mix of wild rice with herbs and spices, ready to serve.",5:41 PM,Food - Grains,3.79
173,Cheesy Cauliflower Bake,Blue Bill Park,"A frozen cheesy bake made with cauliflower, great as a side dish or a vegetarian meal.",7:56 PM,Food - Frozen Vegetables,5.49
174,Jalapeño Cornbread,Aberg,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,1:53 PM,Food - Bakery,3.29
175,Vegan Mayonnaise,Dryden,Plant-based mayonnaise for a creamy taste.,12:00 AM,Food - Condiments,4.49
176,LED Disco Ball Light,Kropf,Fun light that creates a disco atmosphere for parties.,10:46 PM,Home,19.99
177,Chocolate Peanut Butter Cups,Roxbury,Delicious dark chocolate cups filled with creamy peanut butter.,9:11 PM,Food - Snacks,2.29
178,Fresh Lemons,Shasta,Citrusy lemons perfect for drinks and cooking.,4:58 AM,Food - Fresh Produce,0.75
179,Vegetable Samosas,Lawn,Crispy pastry filled with seasoned vegetables.,10:24 PM,Food - Frozen,4.99
180,Electric Wax Warmer,Oak,Wax warmer for creating a soothing atmosphere with fragrances.,7:00 AM,Home,22.99
181,Mango Salsa,Village,Fresh mango salsa with a hint of lime for a zesty topping.,8:51 AM,Food - Condiments,3.49
182,Bamboo Bathtub Caddy,Badeau,"Expandable caddy for holding books, phones, and snacks while in the bath.",2:00 PM,Home,34.99
183,Vegan Chocolate Cake Mix,Orin,Plant-based mix for a rich chocolate cake.,8:53 AM,Food - Baking,4.29
184,Slim Wallet,Southridge,RFID-blocking slim wallet for cards and cash.,7:48 AM,Accessories,24.99
185,Coconut Cream Pie,Rockefeller,Delicious pie filled with coconut cream and topped with whipped cream.,2:51 AM,Food - Bakery,9.49
186,Vegan Alfredo Sauce,Golf Course,"Creamy, dairy-free Alfredo sauce",8:37 PM,Food - Sauces,4.99
187,Nutty Trail Mix,Lillian,"A blend of nuts, seeds, and dried fruits for snacking.",2:41 PM,Food - Snacks,4.29
188,Adjustable Kitchen Broom Stand,Cottonwood,Space-saving broom holder for organized cleaning supplies.,12:02 PM,Home,14.99
189,Hibiscus Herbal Tea,Namekagon,"Floral and refreshing herbal tea, great hot or iced.",3:30 AM,Food - Beverages,3.29
190,Quality Chef Apron,Monument,Durable apron to keep clothes clean while cooking.,10:16 PM,Kitchen,19.99
191,Gluten-Free Brownies,Aberg,"Decadent brownies made without gluten, rich and chocolatey.",3:28 AM,Food - Baking,4.99
192,Smartphone Holder for Car,Dexter,Secure phone mount for your vehicle's dashboard.,5:53 PM,Automotive,14.99
193,Kids' Crafting Station,Marcy,Complete station with supplies for kids' art projects.,12:47 PM,Toys,49.99
194,Savory Snack Mix,Shoshone,"A mix of nuts, pretzels, and crackers, seasoned just right for snacking.",10:10 PM,Food - Snacks,4.49
195,Rainbow Veggie Chips,Elka,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",10:44 AM,Food - Snacks,3.29
196,Handcrafted Wooden Coasters,Clarendon,Set of unique wooden coasters for drinks and decor.,9:43 PM,Home,19.99
197,Sushi Rice,Commercial,Short-grain sushi rice for perfect rolls.,12:24 PM,Food - Grains,3.99
198,Pet Safety Belt for Car,Esch,Seat belt attachment to keep dogs safe during car rides.,3:37 AM,Pets,14.99
199,Garlic Parmesan Roasted Nuts,Fordem,"Savory, roasted nuts seasoned with garlic and parmesan.",2:16 AM,Food - Nuts,4.89
200,Cacao Nibs,Pleasure,"Crunchy cacao nibs, great for adding to smoothies or baking.",8:28 AM,Food - Baking,6.49
201,Wireless HDMI Transmitter,Green Ridge,Stream HD video wirelessly to your TV.,10:24 AM,Electronics,79.99
202,Creamy Spinach Dip,Portage,"Deliciously creamy spinach dip, perfect for parties.",7:23 AM,Food - Prepared Foods,5.99
203,Jump Rope with Counter,Nancy,Durable jump rope with built-in counter for workouts.,9:17 PM,Fitness,12.99
204,Spicy Avocado Salsa,Summerview,"A zesty salsa made from ripe avocados, tomatoes, onions, and jalapeños, great for dipping or topping.",1:08 AM,Food - Condiments,4.49
205,Mini Air Hockey Table,Hovde,Fun tabletop air hockey for home or office.,12:48 AM,Toys,39.99
206,Digital Alarm Clock,Derek,Snooze function and LED display for easy reading.,6:14 AM,Home,19.99
207,Insulated Lunch Box,Roth,Durable lunch box designed to keep food fresh and cool.,1:29 PM,Kitchen,24.99
208,Smart Doorbell,Melby,Wi-Fi enabled doorbell with HD camera and two-way audio.,4:18 AM,Smart Home,119.99
209,Crispy Kale Chips,Debs,"Baked kale chips seasoned for a healthy, crunchy snack.",1:33 PM,Food - Snacks,2.99
210,Roasted Garlic Pasta Sauce,Old Gate,A flavorful pasta sauce made with roasted garlic.,6:56 PM,Food - Sauces,4.99
211,Cinnamon Roll Protein Bar,Acker,Soft and chewy bar packed with protein and cinnamon flavors.,6:03 AM,Food - Snacks,2.99
212,Wrap Front Midi Skirt,Graedel,"Elegant midi skirt with a wrap design, great for both formal and casual events.",12:17 AM,Clothing - Bottoms,44.99
213,Maple Bacon Popcorn,Dapin,Savory popcorn flavored with maple syrup and bacon bits.,11:21 AM,Food - Snacks,3.49
214,Miso Dressing,Hoepker,Flavorful dressing made with miso paste,5:16 AM,Food - Dressings,3.49
215,Cranberry Citrus Sauce,Havey,"A tangy sauce made with cranberries and citrus zest, perfect for turkey and chicken dishes.",11:23 PM,Food - Condiments,3.99
216,Ginger Turmeric Tea,Michigan,Herbal tea blend with ginger and turmeric for a soothing drink.,3:23 PM,Food - Beverages,3.49
217,Digital Wireless Meat Thermometer,Ohio,Bluetooth thermometer that alerts you when your meat is done.,10:20 AM,Kitchen,39.99
218,Lemon Dill Chicken Skewers,Pepper Wood,"Marinated chicken skewers with lemon and dill flavor, grilled to perfection.",11:55 PM,Food - Meat,9.99
219,Pet Grooming Kit,Claremont,Complete grooming kit for dogs and cats.,10:06 AM,Pets,39.99
220,Tabletop Fire Pit,Schlimgen,Compact and stylish indoor/outdoor fire pit for ambiance.,1:50 PM,Outdoor,79.99
221,Garlic Butter Shrimp,Jay,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",6:50 PM,Food - Seafood,8.99
222,Motorcycle Phone Mount,Nevada,Universal mount for smartphones on motorcycles.,6:18 AM,Automotive,14.99
223,Roasted Red Pepper Sauce,Scofield,Savory sauce perfect for pasta or dipping.,3:46 AM,Food - Sauces,3.29
224,Organic Black Bean Burger,Carpenter,Delicious plant-based burger made with organic black beans and spices.,4:22 PM,Food - Frozen Foods,4.49
225,Luxury Bathrobe,Ramsey,Soft and cozy bathrobe perfect for relaxing at home.,2:16 AM,Clothing,49.99
226,Savory Oatmeal,Service,Oatmeal made with savory spices and vegetables.,8:02 PM,Food - Breakfast,2.49
227,Pasta (Fusilli),Tennessee,Twisted pasta perfect for salads and pasta dishes.,12:22 AM,Food - Pasta,1.79
228,Chicken Broth,Kim,"Rich and flavorful chicken broth, great for soups.",7:11 PM,Food - Canned Goods,2.49
229,Tuna Fish (canned),Hansons,"Wild-caught tuna in olive oil, perfect for salads.",2:08 PM,Food - Canned Goods,2.29
230,Luxury Bath Salts,Melody,Scented bath salts for relaxation and self-care.,8:46 AM,Beauty,19.99
231,Vegetable Samosas,Bartelt,Crispy pastry filled with seasoned vegetables.,11:16 PM,Food - Frozen,4.99
232,Classic Vanilla Fudge,Mccormick,"Creamy vanilla fudge, a sweet treat for all occasions.",11:24 PM,Food - Desserts,4.49
233,Brown Rice,Orin,Nutty and wholesome brown rice.,2:03 PM,Food - Grains,1.79
234,Sliced Bread,Park Meadow,"Soft and fresh sliced bread, perfect for sandwiches.",1:07 PM,Food - Bakery,2.99
235,Buffalo Chicken Dip,Esker,"Spicy and creamy dip made with shredded chicken, perfect for parties.",5:29 AM,Food - Dips,5.99
