review_id,customer_id,attradtion_id,rating,comment,review_date
131,131,131,50,"Fresh salsa made with tomatoes, onions, and cilantro.",9/28/2025
132,132,132,56,Premium potting soil for indoor plants.,8/30/2025
133,133,133,63,"Fresh salsa made with tomatoes, onions, and cilantro.",7/25/2025
134,134,134,35,Jump rope that counts your jumps for tracking workouts.,3/10/2026
135,135,135,89,Space-saving adjustable dumbbells for strength training.,2/11/2026
136,136,136,81,Foldable chair equipped with a cooler pouch.,11/8/2025
137,137,137,88,"A hearty salad with grains, dried fruits, and nuts.",2/20/2026
138,138,138,73,Essential tools for bike maintenance and repair.,6/25/2025
139,139,139,50,Stay dry with these stylish waterproof rain boots.,4/20/2025
140,140,140,25,Removable wall art stickers for home decoration.,10/10/2025
141,141,141,32,Water bottle designed to infuse flavors from fruits.,1/6/2026
142,142,142,21,Eco-friendly cutting board that is safe for dishwashers.,3/25/2026
143,143,143,4,Pancake mix infused with seasonal pumpkin spice flavor.,2/9/2026
144,144,144,66,Quick-boiling kettle for home and office use.,11/8/2025
145,145,145,43,Fun tourist magnets from around the world for your fridge.,5/8/2025
146,146,146,93,"Colorful veggie chips made from beets, carrots, and sweet potatoes.",5/1/2025
147,147,147,63,"Refreshing and tangy fermented tea, available in various flavors.",5/27/2025
148,148,148,88,Smart speaker with Alexa and music streaming features.,12/23/2025
149,149,149,61,"A natural sweetener made from coconut sap, a healthier alternative to sugar.",1/4/2026
150,150,150,50,Savory potato chips with a hint of maple sweetness and crispy bacon flavor.,4/10/2025
151,151,151,33,Easy-to-set-up picnic table for outdoor dining.,8/18/2025
152,152,152,87,Custom keychain with engraved text.,4/25/2025
153,153,153,79,"Nutrient-rich broccoli, easy to add to any meal.",10/23/2025
154,154,154,20,Noodles tossed in a spicy Thai peanut sauce.,10/7/2025
155,155,155,46,Roasted almonds coated in a sweet maple and cinnamon mixture.,1/17/2026
156,156,156,65,A blend of herbs and garlic for seasoning meats and vegetables.,9/28/2025
157,157,157,2,500-piece jigsaw puzzle featuring beautiful scenery.,7/15/2025
158,158,158,75,Complete watercolor set with paints and brushes.,12/18/2025
159,159,159,81,Shower head designed for a strong spray and complete coverage.,9/25/2025
160,160,160,72,"Sweet and salty kettle corn, perfect for snacking.",3/12/2026
161,161,161,34,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",3/6/2026
162,162,162,28,Compact scooper for easy waste clean-up during walks.,11/18/2025
163,163,163,71,"A delicious creamy dip featuring spinach and artichokes, perfect for parties.",8/21/2025
164,164,164,47,Eco-friendly string lights for outdoor decor.,12/18/2025
165,165,165,2,Beginner-friendly drone with HD camera.,9/20/2025
166,166,166,92,Bluetooth scale that tracks body composition through an app.,5/5/2025
167,167,167,10,Hearty chili made with premium ground beef and kidney beans.,4/21/2025
168,168,168,65,Blender designed for smoothies and shakes on the go.,12/2/2025
169,169,169,33,Non-stick surface for easy cooking and cleaning.,4/6/2025
170,170,170,56,Nutritious bars packed with protein for energy,6/6/2025
171,171,171,56,Water-resistant Bluetooth speaker for showers.,5/11/2025
172,172,172,90,Smart speaker with Alexa and music streaming features.,7/12/2025
173,173,173,91,Electric indoor grill for quick meals.,8/10/2025
174,174,174,75,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative.",9/5/2025
175,175,175,48,Tender beef chunks for slow-cooked stews.,3/7/2026
176,176,176,91,Creative building set for kids to spark imagination.,10/9/2025
177,177,177,26,Bell peppers stuffed with rice and vegetables,9/25/2025
178,178,178,7,"Soft and fluffy whole wheat pita bread, great for wraps.",9/30/2025
179,179,179,5,A light and breezy top ideal for warm days.,11/21/2025
180,180,180,13,"Fresh Brussels sprouts, great for roasting or steaming.",8/17/2025
181,181,181,56,"Thin, flat pasta perfect for various sauces.",6/9/2025
182,182,182,23,Ready-to-eat chicken bowl with teriyaki sauce and rice.,8/20/2025
183,183,183,45,Set of whisks in various sizes for cooking.,10/17/2025
184,184,184,86,"Soft flannel shirt with a timeless plaid pattern, perfect for layering.",4/7/2025
185,185,185,9,"Flavored couscous with herbs and spices, perfect as a side dish or a base for salads.",1/7/2026
186,186,186,70,Spicy ginger cookies that are crunchy and delicious.,9/11/2025
187,187,187,72,"Crispy baked radish chips, a healthy snack alternative.",5/9/2025
188,188,188,17,Durable tablet designed for kids with parental controls.,1/21/2026
189,189,189,12,"Blend of cheddar and mozzarella cheese, great for recipes.",4/8/2025
190,190,190,60,"Creamy ranch dressing, perfect for salads and dips.",10/30/2025
191,191,191,38,Complete kit to make your own flavored lip balms at home.,6/10/2025
192,192,192,12,"A hearty soup filled with vegetables and herbs, perfect for a light meal.",10/24/2025
193,193,193,98,Multi-functional tool for emergency situations in the car.,4/11/2025
194,194,194,63,Battery-operated blender for smoothies on the go.,10/21/2025
195,195,195,33,Monitor and interact with your pet remotely with this camera.,6/29/2025
196,196,196,8,Heated stool cover for extra comfort during winter.,6/24/2025
197,197,197,1,Smooth Greek yogurt infused with vanilla bean flavor.,3/26/2026
198,198,198,77,A creamy and flavorful hummus made with roasted red peppers.,8/24/2025
199,199,199,81,Sweet and tangy honey mustard dip for snacks.,2/22/2026
200,200,200,68,Compact pocket tool with various built-in functions.,9/20/2025
201,201,201,6,Customizable window cover for light control and privacy.,3/14/2026
202,202,202,90,Soft silicone earbud covers for comfort and fit.,12/8/2025
203,203,203,38,A creamy and flavorful hummus made with roasted red peppers.,11/17/2025
204,204,204,77,"A sweet and spicy sauce, great for dipping or cooking.",10/19/2025
205,205,205,6,Eco-friendly coffee filter for brewing.,1/14/2026
206,206,206,89,"Salmon fillets seasoned with lemon and dill, perfect for grilling.",4/11/2025
207,207,207,93,Brews coffee with a smooth flavor without bitterness.,7/9/2025
208,208,208,9,Stylish holder for organizing cooking utensils.,5/23/2025
209,209,209,60,"Frozen stir-fry mix with chicken, veggies, and teriyaki sauce.",2/15/2026
210,210,210,76,"Nutty flavored chia seeds, packed with nutrients.",6/28/2025
211,211,211,10,Foldable table for working with laptops anywhere.,1/1/2026
212,212,212,26,Lightweight fishing rod suitable for beginners.,2/1/2026
213,213,213,1,Wearable device to track fitness activities and heart rate.,5/5/2025
214,214,214,44,Strategic board game for family game nights.,6/30/2025
215,215,215,95,"A mix of strawberries, blueberries, and raspberries, perfect for smoothies.",8/13/2025
216,216,216,70,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,4/13/2025
217,217,217,94,"Durable canvas tote bag, perfect for everyday use.",2/4/2026
218,218,218,72,Compact coffee grinder for fresh ground coffee beans.,10/28/2025
219,219,219,48,Compact yoga mat that folds for easy storage and transport.,9/1/2025
220,220,220,90,"Savory oatmeal ready to eat, great for breakfast or a snack.",5/30/2025
221,221,221,45,Double-sided art easel for painting and drawing.,9/5/2025
222,222,222,27,Warm oatmeal flavored with apple and cinnamon.,9/29/2025
223,223,223,100,Crunchy and flavorful mix of oats and honey.,6/20/2025
224,224,224,31,Comprehensive tool set for gardening enthusiasts.,1/20/2026
225,225,225,20,"Canned beans with chili sauce, perfect for chili dishes.",3/15/2026
226,226,226,57,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",10/5/2025
227,227,227,58,Lightweight and portable paddle board for water sports.,3/27/2026
228,228,228,83,Special attachment for vacuum cleaners to remove pet hair easily.,6/22/2025
229,229,229,79,Everyday flats that combine comfort and style.,5/15/2025
230,230,230,35,Tool for measuring perfect pasta portions every time.,9/9/2025
231,231,231,1,"Synthetic crab meat sticks, great for salads and sushi.",11/19/2025
232,232,232,40,Nutty granola bars for healthy snacking.,6/27/2025
233,233,233,85,"Tangy dressing perfect for salads and marinades, with sesame and ginger flavors.",8/14/2025
234,234,234,78,Passive noise reduction headphones for focus.,3/22/2026
235,235,235,59,"Nutritious protein bar with cherry and almond flavor, great for on-the-go.",7/23/2025
236,236,236,3,Comfortable harness designed to keep pets safe in the car.,8/18/2025
237,237,237,23,Sleek and protective sleeve for laptops and tablets.,7/24/2025
238,238,238,77,A meal kit featuring tender chicken with honey sesame sauce.,8/9/2025
239,239,239,82,Frozen vegetable primavera for quick meals.,4/9/2025
240,240,240,53,Timeless belted trench coat for a polished look during fall.,8/29/2025
241,241,241,64,Organized tackle box for fishing gear.,3/29/2026
242,242,242,72,Eco-friendly charger with a built-in solar panel for outdoor use.,7/27/2025
243,243,243,26,"Creamy and delicious soup made with real butternut squash, ready to heat.",12/20/2025
244,244,244,52,Durable tablet designed for kids with parental controls.,11/22/2025
245,245,245,74,"Healthy fruit snacks, made with real fruit.",3/19/2026
246,246,246,85,"Tender sweet corn kernels, ready to eat or add to dishes.",5/4/2025
247,247,247,100,"Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal.",5/26/2025
248,248,248,50,Love-themed molds for creating desserts and treats.,10/4/2025
249,249,249,61,Spicy cornbread infused with jalapeños for a kick of flavor at your next meal.,6/28/2025
250,250,250,62,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",4/2/2025
251,251,251,31,Golden-brown fritters made with sweet corn.,7/13/2025
252,252,252,10,Durable scoop for perfectly shaped ice cream servings.,2/18/2026
253,253,253,27,1080p wireless security camera with night vision.,10/19/2025
254,254,254,30,Protective goggles for DIY and construction work.,1/22/2026
255,255,255,14,Durable jump rope for cardio workouts.,1/15/2026
256,256,256,45,Energy-efficient LED bulbs that can be controlled via smartphone.,3/31/2025
257,257,257,73,Creamy chickpea dip infused with zesty garlic flavor.,9/5/2025
258,258,258,66,Fun and colorful gardening tools designed for children.,10/11/2025
259,259,259,20,Comfortable harness designed to keep pets safe in the car.,11/9/2025
260,260,260,72,Organize coffee capsules with this stylish dispenser.,2/4/2026
261,261,261,93,"Crunchy cacao nibs, great for adding to smoothies or baking.",6/11/2025
262,262,262,46,Control lights remotely with this smart switch.,1/14/2026
263,263,263,15,Ergonomic monitor stand for improved workspace organization.,10/26/2025
264,264,264,28,Soft and chewy bar packed with protein and cinnamon flavors.,10/7/2025
265,265,265,44,"Creamy ice cream with a warm cinnamon flavor, perfect for dessert.",12/27/2025
266,266,266,2,Creamy mayonnaise made with avocado oil for a healthier twist.,9/15/2025
267,267,267,64,Everything you need to make delicious spicy tuna rolls at home.,12/12/2025
268,268,268,85,Delicious noodles tossed in a sesamegarlic sauce.,11/19/2025
269,269,269,47,Smart tracker to locate keys or other items via app.,6/30/2025
270,270,270,39,"Fresh, creamy avocados ideal for salads and guacamole.",6/7/2025
271,271,271,35,Set of flexible molds for baking cakes and pastries.,9/18/2025
272,272,272,37,"Ready-to-eat avocado slices, perfect for tacos.",3/9/2026
273,273,273,62,Delicious plant-based burger made with organic black beans and spices.,12/29/2025
274,274,274,81,Color-changing LED lights for home decoration with remote.,3/15/2026
275,275,275,74,Convenient water bottle for pets on the go.,8/30/2025
276,276,276,36,Cute fairy figurines to decorate your garden or potted plants.,10/19/2025
277,277,277,10,Hand-poured candles made of natural soy wax.,12/17/2025
278,278,278,12,"Juicy peach slices in light syrup, in convenient cups.",8/9/2025
279,279,279,51,Fairy lights perfect for decorating patios and backyards.,12/23/2025
280,280,280,12,A warm and sustainable wool scarf for chilly days.,3/13/2026
281,281,281,44,Nutritious chia seeds great for smoothies,3/20/2026
282,282,282,94,Wi-Fi enabled doorbell with HD camera and two-way audio.,6/15/2025
283,283,283,8,Electric food steamer for healthy cooking.,3/17/2026
284,284,284,10,True wireless earbuds with touch control.,1/5/2026
285,285,285,68,"Sweet and nutritious potatoes, great for roasting.",1/23/2026
286,286,286,26,Ready-to-bake cinnamon roll dough for easy breakfasts.,5/25/2025
287,287,287,76,"A mix of strawberries, blueberries, and raspberries, great for smoothies or desserts.",7/18/2025
288,288,288,35,Versatile multi-cooker for pressure cooking and slow cooking.,12/14/2025
289,289,289,74,Stylish bookends to keep books organized on shelves.,12/19/2025
290,290,290,63,Sustainable foam blocks for yoga practice.,12/12/2025
291,291,291,20,Crispy roasted chickpeas seasoned to perfection,12/4/2025
292,292,292,43,Compact wireless set for easy computer usability.,3/23/2026
293,293,293,92,Everything you need to bake delicious chocolate chip cookies.,3/24/2026
294,294,294,77,A nutritious shake with rich chocolate and refreshing mint flavors.,9/23/2025
295,295,295,97,Bottle that tracks your water intake and reminds you to drink.,8/28/2025
296,296,296,28,Designed for comfort and performance during workouts.,4/25/2025
297,297,297,43,Comfortable carry for pets while hiking or traveling.,2/5/2026
298,298,298,66,"Fluffy couscous that cooks in just minutes, perfect as a side.",2/27/2026
299,299,299,57,Homemade ice cream maker for delicious desserts.,6/18/2025
300,300,300,72,"Protein-rich quinoa, a great alternative to rice.",5/15/2025
301,301,301,18,"Crispy baked radish chips, a healthy snack alternative.",8/12/2025
302,302,302,65,Crispy and sweet dried apple slices,4/9/2025
303,303,303,56,Eco-friendly cutting board that is safe for dishwashers.,12/17/2025
304,304,304,44,"Classic ketchup made from organic tomatoes, no added sugar.",7/29/2025
305,305,305,9,Fresh and juicy cherry tomatoes for salads and snacking.,12/16/2025
306,306,306,10,Nutty granola bars for healthy snacking.,2/17/2026
307,307,307,4,A flavorful pasta sauce made with roasted garlic.,10/21/2025
308,308,308,21,Portable desk that can be adjusted for sitting or standing.,9/2/2025
309,309,309,45,Cold pasta salad tossed with pesto and fresh vegetables.,7/22/2025
310,310,310,51,Effective brush for removing loose hair from pets.,9/20/2025
311,311,311,54,"Spicy jalapenos stuffed with cheese, ideal for appetizers.",5/22/2025
312,312,312,63,Delicious plant-based burger made with organic black beans and spices.,6/23/2025
313,313,313,3,"Juicy pork tenderloin, great for roasting.",8/18/2025
314,314,314,43,Battery-operated air purifier for small spaces.,4/3/2025
315,315,315,37,Juicy and tender boneless chicken breasts.,9/24/2025
316,316,316,46,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",10/26/2025
317,317,317,84,Mini refrigerator ideal for small spaces.,1/22/2026
318,318,318,49,Noodles tossed in a spicy Thai peanut sauce.,6/13/2025
319,319,319,10,"Crispy sweet potato bites, delicious as a side or snack.",1/3/2026
320,320,320,3,Complete fondue set for chocolate and cheese parties.,6/7/2025
321,321,321,64,"Super soft fleece blanket, perfect for coziness.",4/16/2025
322,322,322,71,Keep bugs out while allowing fresh air in during summer.,11/6/2025
323,323,323,2,A warming blend of ginger and turmeric for lattes.,6/12/2025
324,324,324,83,High-quality matcha for making traditional tea or lattes.,3/6/2026
325,325,325,73,Quick-cooking couscous flavored with herbs and spices.,2/1/2026
326,326,326,66,"Chic suede ankle booties, perfect for dressing up or down.",10/25/2025
327,327,327,72,Personal massager for muscle recovery.,4/4/2025
328,328,328,66,Beautifully crafted jewelry box with compartments for storage.,10/20/2025
329,329,329,28,"Thin rice noodles, ideal for stir-fries and soups.",3/9/2026
330,330,330,76,Fun book filled with puzzles and games for kids.,7/26/2025
331,331,331,16,Official size basketball for indoor and outdoor play.,3/21/2026
332,332,332,23,Quick and easy rice pilaf mix for side dishes.,11/21/2025
333,333,333,55,A soothing tea blend with turmeric and ginger for wellness.,6/29/2025
334,334,334,75,Love-themed molds for creating desserts and treats.,11/29/2025
335,335,335,89,"Versatile slicer for meats, cheeses, and vegetables.",11/6/2025
336,336,336,92,A spicy marinade perfect for chicken and fish.,8/24/2025
337,337,337,82,Cordless electric knife for effortless slicing.,1/9/2026
338,338,338,28,Delicious frozen pizza with a variety of toppings.,11/6/2025
339,339,339,55,Rich and sweet paprika spice for seasoning.,10/13/2025
340,340,340,25,Frozen vegetable primavera for quick meals.,6/2/2025
341,341,341,26,Durable ceramic bakeware for casseroles and desserts.,3/31/2025
342,342,342,72,Sweet and tangy balsamic reduction for drizzling.,9/14/2025
343,343,343,32,"Lightweight, expandable hoses for easy handling.",5/6/2025
344,344,344,42,Sweet popcorn coated in a mixture of cinnamon and sugar.,9/15/2025
345,345,345,31,Wax warmer for creating a soothing atmosphere with fragrances.,5/2/2025
346,346,346,76,Stylish desk set to keep your workspace tidy and organized.,12/14/2025
347,347,347,94,Stylish markers for labeling your indoor garden plants.,4/9/2025
348,348,348,54,"Light and crispy baked chips, a healthier snack option.",12/30/2025
349,349,349,29,Bottle that tracks your water intake and reminds you to drink.,12/21/2025
350,350,350,43,Ergonomic stand for laptops to improve posture while working.,7/25/2025
351,351,351,24,Bold graphic hoodie featuring a comfortable fit and soft fabric.,4/2/2025
352,352,352,53,Crunchy granola clusters mixed with nuts and honey.,12/28/2025
353,353,353,81,Crunchy pretzel bites filled with peanut butter,4/29/2025
354,354,354,65,Creamy mayonnaise made with avocado oil for a healthier twist.,4/28/2025
355,355,355,4,Stylish hooks to easily hang shower curtains.,10/9/2025
356,356,356,50,Mild cheese great for sandwiches.,3/3/2026
357,357,357,74,Durable journal for nature observations and notes.,2/17/2026
358,358,358,88,Learning tablet with kid-friendly educational apps.,12/28/2025
359,359,359,60,Delicious pie filled with coconut cream and topped with whipped cream.,7/8/2025
360,360,360,25,Automated litter box that cleans itself after each use.,2/9/2026
361,361,361,67,"Ready-to-eat beet salad with dressing, great side dish.",7/10/2025
362,362,362,94,Complete karaoke system with microphones and speakers.,4/24/2025
363,363,363,42,Creamy chickpea dip blended with tahini and garlic.,8/31/2025
364,364,364,16,Gourmet potato skins loaded with cheddar cheese and bacon.,6/15/2025
365,365,365,44,Stainless steel travel mug that keeps drinks hot or cold.,7/5/2025
366,366,366,69,Breathable polo shirt designed for both style and comfort on the greens.,2/26/2026
367,367,367,27,Multi-functional tool for emergency situations in the car.,5/19/2025
368,368,368,85,Compact jump starter for emergency vehicle starts.,2/25/2026
369,369,369,77,Quick and easy fried rice mixed with vegetables and soy sauce.,2/15/2026
370,370,370,77,Handheld sprayer designed for washing pets easily.,11/1/2025
371,371,371,38,Complete outdoor kit for camping and hiking.,12/30/2025
372,372,372,88,Spicy chili sauce with garlic and sugar for a flavor kick.,4/8/2025
373,373,373,31,"A delicious salad with quinoa, nuts, and cranberries.",2/19/2026
374,374,374,93,Fairy lights perfect for decorating patios and backyards.,5/12/2025
375,375,375,52,Handy keychain that emits a loud alarm for personal safety.,8/15/2025
376,376,376,69,Durable tarp for outdoor camping and protection.,11/23/2025
377,377,377,80,Ideal for creating custom designs on t-shirts and fabrics.,2/9/2026
378,378,378,20,Durable jump rope with built-in counter for workouts.,11/14/2025
379,379,379,40,Tofu stir-fried with fresh vegetables in teriyaki sauce.,7/26/2025
380,380,380,4,Refreshing dessert bars made with pineapple and coconut.,3/19/2026
381,381,381,28,Easily opens jar lids and bottle caps with one touch.,7/18/2025
